appname,app_id,complexity,iid,latency_exp,url
cars,0,simple,00,fast,https://observablehq.com/@d3/brushable-scatterplot
nprbooks,1,simple,10,fast,https://apps.npr.org/best-books/
yemendataproject,2,complex,20,fast,https://yemendataproject.org/
yemendataproject,2,complex,21,fast,https://yemendataproject.org/
nytcovid,3,complex,30,medium,https://www.nytimes.com/interactive/2021/us/covid-cases.html 
nytcovid,3,complex,31,fast,https://www.nytimes.com/interactive/2021/us/covid-cases.html
nytcovid,3,complex,32,fast,https://www.nytimes.com/interactive/2021/us/covid-cases.html
nytcovid,3,complex,33,slow,https://www.nytimes.com/interactive/2021/us/covid-cases.html
nytvaccines,4,complex,40,medium,https://www.nytimes.com/interactive/2020/us/covid-19-vaccine-doses.html
nytvaccines,4,complex,41,fast,https://www.nytimes.com/interactive/2020/us/covid-19-vaccine-doses.html
nytvaccines,4,complex,42,fast,https://www.nytimes.com/interactive/2020/us/covid-19-vaccine-doses.html
nytvaccines,4,complex,43,medium,https://www.nytimes.com/interactive/2020/us/covid-19-vaccine-doses.html
flights,5,complex,50,fast,https://www.omnisci.com/demos/flights
flights,5,complex,51,medium,https://www.omnisci.com/demos/flights
flights,5,complex,52,fast,https://www.omnisci.com/demos/flights
flights,5,complex,53,medium,https://www.omnisci.com/demos/flights
icheck,6,complex,60,slow,http://icheckuclaim.org/
icheck,6,complex,61,fast,http://icheckuclaim.org/
icheck,6,complex,62,fast,http://icheckuclaim.org/
icheck,6,complex,63,medium,http://icheckuclaim.org/
fairvis,7,complex,70,fast,https://github.com/poloclub/FairVis/tree/master/src/data
fairvis,7,complex,71,fast,https://github.com/poloclub/FairVis/tree/master/src/data
fairvis,7,complex,72,medium,https://github.com/poloclub/FairVis/tree/master/src/data
fairvis,7,complex,73,slow,https://github.com/poloclub/FairVis/tree/master/src/data
jhu,8,complex,80,medium,https://coronavirus.jhu.edu/data/racial-data-transparency
jhu,8,complex,81,fast,https://coronavirus.jhu.edu/data/racial-data-transparency
jhu,8,complex,82,medium,https://coronavirus.jhu.edu/data/racial-data-transparency
